date,zone,supply_area,day_of_week,time_of_supply,hours_of_supply,population_served,demand_forecast_m3,actual_consumption_m3,price_per_litre,pipe_leakage_m3,complaints_received,rainfall_mm
2022-01-27,Central,Area 1,Thursday,Afternoon,12,10888,396,377.37537269849406,0.10128297884328992,378,20,5.558209502710572
2022-01-28,Western,Area 1,Friday,Afternoon,12,10049,380,365.8622690312376,0.10940546545034317,383,18,8.135316702211053
2022-01-29,Western,Area 3,Saturday,Afternoon,12,10099,301,305.2960092743257,0.1,384,17,11.190373672170335
2022-01-30,Central,Area 2,Sunday,Morning,12,10866,512,525.106842790075,0.10110441022478099,388,20,10.28247027387124
2022-01-31,Southern,Area 1,Monday,Morning,12,10000,463,476.10802847290904,0.1,378,10,8.454035697678895
2022-02-01,Western,Area 3,Tuesday,Morning,12,10000,499,496.8934502319954,0.10651658892681144,378,9,12.419314720724623
2022-02-02,Western,Area 3,Wednesday,Afternoon,12,10000,532,558.5899160232649,0.1073017035830927,378,8,6.828258376379017
2022-02-03,Southern,Area 4,Thursday,Afternoon,12,10417,601,617.5789780333956,0.10682814299958791,378,9,5.633760808227052
2022-02-04,Central,Area 3,Friday,Morning,12,10270,756,791.2704161416907,0.11219629035124279,366,10,7.621479067799001
2022-02-05,Central,Area 1,Saturday,Afternoon,12,10000,684,710.3381490378648,0.1,373,6,9.28090212042713
2022-02-06,Central,Area 1,Sunday,Afternoon,12,10000,681,713.8464014567243,0.11038236985669997,378,14,5.21918246230462
2022-02-07,Central,Area 6,Monday,Afternoon,12,10018,688,677.3784700548335,0.1,365,11,6.696416740258119
2022-02-08,Southern,Area 1,Tuesday,Morning,12,10000,732,740.1878582537167,0.1,368,8,3.4844606781752727
2022-02-09,Southern,Area 3,Wednesday,Afternoon,12,10424,729,725.429788309824,0.1,374,12,3.318720593215547
2022-02-10,Western,Area 6,Thursday,Afternoon,12,10000,660,652.1390078893702,0.10808917116625268,370,8,0.0
2022-02-11,Central,Area 5,Friday,Afternoon,12,10989,706,723.8200274167369,0.10379322615064543,366,7,2.7307674609318022
2022-02-12,Southern,Area 3,Saturday,Morning,12,10972,719,728.292611311723,0.10021018204829375,359,12,6.201089846242716
2022-02-13,Southern,Area 2,Sunday,Afternoon,12,10000,523,524.2855669139622,0.1151462873501945,368,9,5.012140164239974
2022-02-14,Southern,Area 2,Monday,Morning,12,10000,543,536.6678633797644,0.1,363,10,3.7486207167554837
2022-02-15,Central,Area 5,Tuesday,Afternoon,12,11112,519,525.7227600708367,0.10949317336323384,366,11,6.902200602685441
2022-02-16,Southern,Area 1,Wednesday,Afternoon,12,10811,425,414.5859644415715,0.10832921758169288,361,11,6.425318687509041
2022-02-17,Central,Area 5,Thursday,Morning,12,10327,408,405.48365215224186,0.1,367,8,10.328464148712484
2022-02-18,Southern,Area 2,Friday,Afternoon,12,10000,463,478.98323982515933,0.1,371,8,10.358564947043336
2022-02-19,Western,Area 3,Saturday,Afternoon,12,10454,349,357.3616022125394,0.10140515111909831,367,8,10.545267556360592
2022-02-20,Western,Area 1,Sunday,Afternoon,12,10193,322,331.0589824986126,0.1,353,8,9.28121592861648
2022-02-21,Southern,Area 3,Monday,Afternoon,12,11211,359,372.0759920041108,0.10817965824499658,366,9,11.357888667110041
2022-02-22,Western,Area 4,Tuesday,Morning,12,10596,349,349.27225324053194,0.10260059619543,359,8,11.534574441696117
2022-02-23,Central,Area 6,Wednesday,Afternoon,12,10377,295,282.87267903044597,0.1,346,10,8.759536589649516
2022-02-24,Central,Area 3,Thursday,Morning,12,10212,351,341.5583114967029,0.10964826842894117,365,11,6.59337093196814
2022-02-25,Western,Area 2,Friday,Morning,12,10000,330,341.89151006750393,0.1,354,7,9.517696238265772
2022-02-26,Central,Area 4,Saturday,Morning,12,10380,431,432.09040378983286,0.10340775262439089,354,13,4.475099935218874
2022-02-27,Western,Area 2,Sunday,Afternoon,12,11042,456,454.39440641593836,0.1,357,11,4.422936651753473
2022-02-28,Southern,Area 1,Monday,Morning,12,10445,424,444.9562118408594,0.1,343,13,0.0
2022-03-01,Central,Area 5,Tuesday,Morning,12,10492,469,451.74469163475356,0.10735693011001726,345,8,1.099476246221531
2022-03-02,Central,Area 2,Wednesday,Morning,12,10345,555,580.5348199124437,0.1072397073905047,361,4,4.919716762383422
2022-03-03,Central,Area 4,Thursday,Afternoon,12,10000,515,492.3430443383138,0.10327828519029957,351,4,3.9079004978694796
2022-03-04,Southern,Area 6,Friday,Afternoon,12,10000,639,634.6765671192499,0.10755378259473153,355,3,2.438592570907097
2022-03-05,Western,Area 6,Saturday,Morning,12,10548,666,679.2682314479707,0.1,351,5,3.267737612096493
2022-03-06,Central,Area 2,Sunday,Afternoon,12,11028,689,678.9041189987514,0.10749524790024911,358,3,5.555344367951469
2022-03-07,Southern,Area 6,Monday,Morning,12,10433,746,775.3938521564335,0.1079957088828109,352,4,5.458452269128393
2022-03-08,Central,Area 6,Tuesday,Morning,12,11381,772,765.436510514938,0.10258175566643005,353,5,12.779190057237638
2022-03-09,Western,Area 5,Wednesday,Morning,12,10000,665,636.5972635248588,0.1082267811291173,350,3,8.08763663129998
2022-03-10,Central,Area 6,Thursday,Afternoon,12,10000,664,672.7386664259064,0.1,353,5,9.106599802500577
2022-03-11,Central,Area 3,Friday,Morning,12,10321,741,736.5307635368571,0.1055748583027632,356,5,11.488914703145312
2022-03-12,Central,Area 4,Saturday,Morning,12,10464,714,682.0240314912414,0.10598742348416934,353,5,7.058115135783057
2022-03-13,Central,Area 2,Sunday,Afternoon,12,10441,673,660.6119520832523,0.11561963766124593,349,5,7.586255315185589
2022-03-14,Southern,Area 2,Monday,Morning,12,11037,708,732.3851766684616,0.10764148107538431,345,5,12.05797554031741
2022-03-15,Southern,Area 5,Tuesday,Afternoon,12,10737,675,705.0195554120689,0.108094161692776,349,4,13.47553514176714
2022-03-16,Western,Area 2,Wednesday,Morning,12,10000,543,529.0771057097593,0.11286860755746998,353,6,9.372351608143571
2022-03-17,Western,Area 6,Thursday,Afternoon,12,10638,542,549.2806278261814,0.10143622253403926,347,3,5.164081684546413
2022-03-18,Southern,Area 1,Friday,Afternoon,12,10665,423,414.89371014056076,0.10557082440384727,345,6,5.297126437851021
2022-03-19,Western,Area 4,Saturday,Morning,12,10000,467,483.975572934606,0.11228182093284307,346,4,5.34161397307302
2022-03-20,Western,Area 4,Sunday,Afternoon,12,10710,456,464.25161370996307,0.10093050540180748,333,5,0.28913026021889854
2022-03-21,Central,Area 4,Monday,Afternoon,12,10071,365,377.62475031838585,0.10362699842757327,346,6,1.9327319314728015
2022-03-22,Central,Area 4,Tuesday,Morning,12,11547,311,299.2882021675538,0.10715393276708324,337,4,0.0
2022-03-23,Western,Area 5,Wednesday,Morning,12,10926,350,333.1011853516967,0.1085679936356149,346,5,0.0
2022-03-24,Central,Area 6,Thursday,Afternoon,12,10678,364,382.06839170831927,0.10342961007432372,330,4,2.1036499254362235
2022-03-25,Southern,Area 6,Friday,Morning,12,10877,364,373.77012344056055,0.10713301813548994,337,3,9.932850268682985
2022-03-26,Western,Area 3,Saturday,Afternoon,12,10502,320,332.0616206355396,0.10182538315578783,329,5,4.952059360872402
2022-03-27,Southern,Area 3,Sunday,Morning,12,10000,317,308.5383602869344,0.10216959779872317,330,4,9.322593773693093
2022-03-28,Western,Area 3,Monday,Morning,12,10646,388,374.1908615804723,0.11038222538275205,337,4,6.058226238361312
2022-03-29,Southern,Area 6,Tuesday,Afternoon,12,10767,385,395.8391011139063,0.10671181346091681,345,7,8.750924040206876
2022-03-30,Southern,Area 6,Wednesday,Morning,12,10956,421,405.0722626597635,0.1,340,5,9.712016831396207
2022-03-31,Central,Area 4,Thursday,Morning,12,10407,539,521.2138508990618,0.10352989571397976,333,6,6.224121634254451
2022-04-01,Central,Area 2,Friday,Afternoon,12,10684,496,482.3262769044908,0.1,335,4,5.7630291274553125
2022-04-02,Central,Area 5,Saturday,Afternoon,12,10583,563,582.3830034168154,0.10530873573158407,336,5,11.929245411859513
2022-04-03,Southern,Area 6,Sunday,Morning,12,10091,581,592.0262357631356,0.10341643861342056,332,6,10.605300875318267
2022-04-04,Western,Area 2,Monday,Afternoon,12,10000,641,625.5589266394343,0.1025429566438052,336,5,7.870686498395312
2022-04-05,Central,Area 1,Tuesday,Afternoon,12,10526,623,639.8166452418814,0.10538184823238177,322,5,8.237557442995044
2022-04-06,Central,Area 3,Wednesday,Morning,12,10910,670,639.580474017677,0.10076758905300451,332,4,6.621339551233255
2022-04-07,Central,Area 5,Thursday,Afternoon,12,10000,638,622.0690801509226,0.10724494854464066,329,5,8.689705775739647
2022-04-08,Central,Area 1,Friday,Morning,12,10656,745,720.9545545595043,0.11351171644780104,340,3,2.4036548216913136
2022-04-09,Southern,Area 6,Saturday,Afternoon,12,11433,736,700.0569629918269,0.1103192550286725,333,5,0.0
2022-04-10,Western,Area 5,Sunday,Afternoon,12,11283,728,703.776176641395,0.10745285904109395,337,3,0.0
2022-04-11,Southern,Area 2,Monday,Morning,12,10287,709,738.2965360467247,0.10488221230631127,334,5,0.0
2022-04-12,Central,Area 6,Tuesday,Afternoon,12,10184,669,676.1699241960195,0.1075553465874854,326,5,3.700925107443749
2022-04-13,Central,Area 1,Wednesday,Morning,12,10639,671,699.3671105089519,0.10256489399675976,320,5,2.588819056134933
2022-04-14,Western,Area 6,Thursday,Afternoon,12,10373,689,702.9090650814858,0.10323748260222994,332,6,4.2850200945919985
2022-04-15,Southern,Area 2,Friday,Morning,12,10357,530,507.7695382765105,0.10609939687520269,332,3,5.185674396875277
2022-04-16,Western,Area 3,Saturday,Morning,12,10878,586,606.2345155297126,0.11002167253053477,333,5,11.285784344350962
2022-04-17,Southern,Area 5,Sunday,Afternoon,12,10000,557,556.8366180895847,0.10418557332434966,320,5,8.932735750904891
2022-04-18,Southern,Area 6,Monday,Afternoon,12,10922,439,429.03186969727466,0.10732974444058001,330,6,7.400099916191269
2022-04-19,Central,Area 5,Tuesday,Afternoon,12,10391,362,353.61432878256596,0.10548847805206699,322,4,6.226438798092613
2022-04-20,Western,Area 6,Wednesday,Morning,12,10000,456,444.28418328980626,0.1,321,2,11.15389925728808
2022-04-21,Southern,Area 2,Thursday,Morning,12,10602,354,357.03854532576077,0.10278303468277745,323,3,12.456651094007926
2022-04-22,Western,Area 4,Friday,Morning,12,10735,321,306.10511064902573,0.11500787495616474,318,5,6.776216113741566
2022-04-23,Central,Area 4,Saturday,Afternoon,12,10199,354,344.7636544432684,0.1,316,4,7.3760082299777086
2022-04-24,Central,Area 1,Sunday,Afternoon,12,10889,314,322.6418055589236,0.10875098052775817,312,5,6.35165937631945
2022-04-25,Western,Area 5,Monday,Afternoon,12,11337,414,405.5302048812799,0.1,317,4,4.42971179255956
2022-04-26,Central,Area 6,Tuesday,Afternoon,12,10665,371,352.45937552322533,0.10258104950726063,321,6,8.603886421228978
2022-04-27,Central,Area 3,Wednesday,Afternoon,12,10750,374,385.9151059900135,0.11170470400780613,315,5,8.201908547253415
2022-04-28,Southern,Area 6,Thursday,Afternoon,12,10162,426,410.9546628918533,0.10042074270262438,317,3,4.353369197536606
2022-04-29,Southern,Area 6,Friday,Morning,12,10960,499,517.0438179037235,0.11316856743133112,315,4,1.8015299155235762
2022-04-30,Southern,Area 3,Saturday,Morning,12,10000,456,464.52463591608245,0.11705306974451359,312,4,0.009271081616016419
2022-05-01,Southern,Area 2,Sunday,Afternoon,12,10414,488,464.57131460561664,0.11028873996188594,314,4,0.0
2022-05-02,Central,Area 4,Monday,Afternoon,12,10000,573,568.1790356317954,0.11164499065586024,316,5,0.7225916392521007
2022-05-03,Western,Area 3,Tuesday,Afternoon,12,11205,621,615.9903275730302,0.1,317,4,0.32948964092299926
2022-05-04,Central,Area 5,Wednesday,Morning,12,10858,652,672.1302284463252,0.11361354522543703,307,3,1.614703317513103
2022-05-05,Western,Area 6,Thursday,Morning,12,10387,692,707.5049800241695,0.10691145796479838,320,4,4.109135254285075
2022-05-06,Southern,Area 3,Friday,Afternoon,12,11033,645,621.0753616223648,0.10181517638249418,304,4,7.920340220912875
2022-05-07,Western,Area 4,Saturday,Afternoon,12,10938,684,710.176733551882,0.10915782930017627,312,4,11.793196041409212
2022-05-08,Western,Area 5,Sunday,Morning,12,10173,600,608.4550123859204,0.10571373218942272,307,5,9.041347056711952
2022-05-09,Western,Area 1,Monday,Afternoon,12,10731,736,729.1284858573621,0.1,306,4,13.241378852974204
2022-05-10,Southern,Area 5,Tuesday,Afternoon,12,10513,678,698.2359197640726,0.11481164776403446,308,4,8.914967577835913
2022-05-11,Central,Area 5,Wednesday,Morning,12,10812,701,666.8802751214687,0.1197757113653556,304,3,6.508162985711678
2022-05-12,Western,Area 5,Thursday,Morning,12,10958,664,658.4512020303655,0.10140336728288385,306,5,8.112312608883975
2022-05-13,Central,Area 2,Friday,Afternoon,12,12054,692,663.3333813436918,0.1,304,5,9.894300934860945
2022-05-14,Western,Area 3,Saturday,Morning,12,10647,633,617.9413861276653,0.10123280647410701,304,5,6.119312673652837
2022-05-15,Central,Area 5,Sunday,Afternoon,12,10848,688,691.0136438212195,0.10493514854026592,305,7,8.693588782966291
2022-05-16,Central,Area 4,Monday,Afternoon,12,11165,591,580.2292231405653,0.10912763465524213,303,3,5.847681063794653
2022-05-17,Central,Area 3,Tuesday,Morning,12,10038,443,453.5122410234618,0.11537101251907236,297,5,7.377524385200469
2022-05-18,Western,Area 5,Wednesday,Afternoon,12,10154,423,412.6599633657061,0.10343817907984698,299,4,7.561953233573049
2022-05-19,Southern,Area 6,Thursday,Morning,12,10000,413,414.4703151286875,0.11280439482804784,295,3,3.672547513839823
2022-05-20,Central,Area 4,Friday,Afternoon,12,10289,298,293.0471606295688,0.11029801599585683,306,5,0.0
2022-05-21,Southern,Area 1,Saturday,Afternoon,12,10137,332,329.9915598294203,0.10144951926050186,304,5,0.0
2022-05-22,Central,Area 1,Sunday,Morning,12,10835,339,343.65454661961076,0.10170870403152403,308,4,5.565314490052055
2022-05-23,Western,Area 3,Monday,Afternoon,12,11251,305,301.6110733528135,0.10353520146043481,296,6,0.28693499776428766
2022-05-24,Central,Area 1,Tuesday,Morning,12,10839,341,347.1267034404605,0.10132467758386778,289,6,1.8862813249067125
2022-05-25,Central,Area 5,Wednesday,Afternoon,12,10044,444,426.21724981285234,0.10748906259681719,296,6,6.101546056980279
2022-05-26,Central,Area 2,Thursday,Afternoon,12,10409,236,225.90215371721507,0.11118257348271576,298,5,7.557405031757339
2022-05-27,Southern,Area 6,Friday,Afternoon,12,11288,363,359.656316389517,0.11407196395542057,292,6,6.32709864124313
2022-05-28,Central,Area 1,Saturday,Afternoon,12,10000,508,503.71777315657835,0.11102402456400538,301,3,5.672951706968201
2022-05-29,Southern,Area 2,Sunday,Afternoon,12,10092,413,404.5632672907533,0.1100179363216996,294,6,9.016380962933749
2022-05-30,Southern,Area 1,Monday,Morning,12,11008,489,476.0909403250225,0.10739530362772297,295,4,6.060181704838788
2022-05-31,Western,Area 2,Tuesday,Afternoon,12,11569,556,538.4557188766075,0.11370007939054155,292,6,6.872203365826939
2022-06-01,Western,Area 4,Wednesday,Afternoon,12,10645,562,570.2863488354127,0.11073695450742886,290,5,10.16073478347517
2022-06-02,Western,Area 1,Thursday,Morning,12,10755,735,708.8132400645153,0.10871638775962746,293,4,5.934383673270553
2022-06-03,Central,Area 2,Friday,Afternoon,12,10137,667,658.3741861062092,0.11430070438366498,296,4,9.656834079582536
2022-06-04,Central,Area 3,Saturday,Morning,12,11664,730,743.2775932939204,0.10931147334945578,292,5,6.1464013982111245
2022-06-05,Southern,Area 5,Sunday,Afternoon,12,10847,852,825.5524327122754,0.10837949192961639,289,5,6.2721107905018485
2022-06-06,Central,Area 1,Monday,Afternoon,12,10373,546,564.9314986216289,0.11235760456056215,296,2,7.335663114416901
2022-06-07,Central,Area 3,Tuesday,Morning,12,10545,710,733.43244875076,0.10941573504443261,291,4,4.9781679647202255
2022-06-08,Central,Area 2,Wednesday,Morning,12,11193,659,675.8016700209381,0.11396892420266665,294,4,3.2529183689656773
2022-06-09,Western,Area 6,Thursday,Morning,12,10768,656,673.7008784485065,0.11329386880049074,287,5,3.048905101991389
2022-06-10,Central,Area 6,Friday,Morning,12,10509,676,699.061063928196,0.10574877605598036,288,4,0.0
2022-06-11,Central,Area 4,Saturday,Afternoon,12,10457,666,651.2429795929032,0.11055191411670592,279,2,2.9316601116257335
2022-06-12,Central,Area 5,Sunday,Afternoon,12,10649,527,546.9929754342043,0.1180910459083362,276,4,4.200687589933879
2022-06-13,Southern,Area 6,Monday,Afternoon,12,10316,595,601.9489783289284,0.11104172553363088,283,4,3.1359228375668753
2022-06-14,Southern,Area 1,Tuesday,Morning,12,10614,532,540.9297807850829,0.10317230589796039,282,4,6.359866749133286
2022-06-15,Central,Area 6,Wednesday,Afternoon,12,10448,566,570.7446323653917,0.11369558273179985,280,4,6.761799899615825
2022-06-16,Southern,Area 6,Thursday,Afternoon,12,10895,607,628.6067066101233,0.10428677852130189,285,4,5.494670042082872
2022-06-17,Western,Area 6,Friday,Morning,12,10296,393,374.63114428710276,0.11046599515344757,296,4,10.044917345711264
2022-06-18,Western,Area 4,Saturday,Afternoon,12,11088,468,480.91390943629,0.10118458737598272,282,5,7.582599420418925
2022-06-19,Central,Area 2,Sunday,Afternoon,12,10323,312,303.69869864559064,0.12058687896461052,282,4,12.994380846725637
2022-06-20,Southern,Area 1,Monday,Afternoon,12,10878,379,377.1140978433249,0.1123776740787944,278,3,9.887976122861197
2022-06-21,Southern,Area 3,Tuesday,Afternoon,12,10363,325,322.8183217240796,0.10470864336504705,284,5,10.030702826100233
2022-06-22,Southern,Area 1,Wednesday,Morning,12,10639,331,330.61131471187656,0.11732003485718784,281,4,9.691821425459395
2022-06-23,Western,Area 5,Thursday,Morning,12,11438,337,349.41880641958005,0.10123507380296048,277,6,7.539606542374248
2022-06-24,Southern,Area 5,Friday,Afternoon,12,11333,311,310.9736735391881,0.10530812673252882,282,5,9.061639619287046
2022-06-25,Southern,Area 1,Saturday,Afternoon,12,11201,257,258.61438907827994,0.10973362105217307,278,5,10.426053290186456
2022-06-26,Western,Area 4,Sunday,Morning,12,10171,330,324.34489990767804,0.10402138429612748,289,7,6.8434794832749315
2022-06-27,Western,Area 2,Monday,Afternoon,12,10974,508,489.49410175689104,0.10140252349298168,285,5,6.016664316518524
2022-06-28,Western,Area 6,Tuesday,Morning,12,10971,496,486.72823699606846,0.11914427734553631,277,4,0.0
2022-06-29,Southern,Area 3,Wednesday,Afternoon,12,11247,605,595.1567254260237,0.10561995311276937,275,5,6.256672648038387
2022-06-30,Central,Area 1,Thursday,Morning,12,10220,478,476.567808000549,0.10915395774256309,273,4,1.5200773514374624
2022-07-01,Central,Area 6,Friday,Afternoon,12,11351,669,689.6635897097782,0.10962409066407329,272,6,0.0
2022-07-02,Western,Area 5,Saturday,Morning,12,11024,695,677.4093022299809,0.10819913790436635,282,2,1.3339580816579297
2022-07-03,Southern,Area 1,Sunday,Morning,12,11183,610,621.9522792660962,0.1196820883170071,274,6,5.44623842148381
2022-07-04,Western,Area 2,Monday,Afternoon,12,11081,630,653.6528122567444,0.10840758251762136,281,4,7.886158849731657
2022-07-05,Southern,Area 2,Tuesday,Afternoon,12,11481,671,696.5294616961885,0.11000745605843774,276,5,9.498015972611592
2022-07-06,Western,Area 4,Wednesday,Afternoon,12,11538,818,819.311793523539,0.10663254600083204,267,5,5.47551148564255
2022-07-07,Central,Area 4,Thursday,Afternoon,12,10615,770,758.4543193913713,0.10898895380467086,270,4,8.982816891018082
2022-07-08,Central,Area 5,Friday,Morning,12,10415,711,717.0610790699552,0.10105211736138406,270,5,8.16265214276328
2022-07-09,Central,Area 5,Saturday,Afternoon,12,10736,775,744.5288197164085,0.11195140106655824,269,5,11.954939425099056
2022-07-10,Southern,Area 2,Sunday,Morning,12,11563,717,688.3109979259171,0.10921928719730593,282,6,14.762266937606562
2022-07-11,Southern,Area 6,Monday,Morning,12,10654,658,638.2343193200545,0.1100894155881536,280,4,5.958427609830476
2022-07-12,Western,Area 1,Tuesday,Morning,12,10260,549,564.6410319785929,0.10796902357855286,272,5,11.051924289371746
2022-07-13,Western,Area 3,Wednesday,Afternoon,12,10556,678,654.7362438520003,0.1114105019225866,269,4,9.917455267872324
2022-07-14,Southern,Area 1,Thursday,Afternoon,12,10987,496,495.13415696715344,0.10932700906271615,271,5,7.8307427608112254
2022-07-15,Southern,Area 3,Friday,Afternoon,12,10858,570,588.7709718512189,0.10912155857081197,269,6,7.42949623679872
2022-07-16,Western,Area 1,Saturday,Morning,12,10989,475,474.7064918488276,0.12448440828207855,267,6,10.638778962428887
2022-07-17,Central,Area 4,Sunday,Afternoon,12,11090,430,412.374340448771,0.10861142744704079,265,5,4.944358170350023
2022-07-18,Southern,Area 1,Monday,Afternoon,12,10299,410,408.61823809055477,0.1169926802852047,263,4,4.310711075215209
2022-07-19,Western,Area 6,Tuesday,Morning,12,10138,281,282.64433817157374,0.10217875925394587,270,4,4.1758008229061545
2022-07-20,Southern,Area 4,Wednesday,Morning,12,11308,398,409.9364888156669,0.10855923509856472,268,6,2.919963051951622
2022-07-21,Southern,Area 5,Thursday,Morning,12,11299,367,380.4504034472606,0.10905702223833447,264,5,2.8147956583598432
2022-07-22,Western,Area 2,Friday,Afternoon,12,10709,362,365.9383075286274,0.11027791285717782,264,5,0.0
2022-07-23,Central,Area 1,Saturday,Afternoon,12,11144,367,370.60136455593084,0.1160258578683194,262,5,4.0704233875121725
2022-07-24,Western,Area 1,Sunday,Afternoon,12,11012,252,254.74129277701104,0.12123312341627167,255,6,6.872882173880891
2022-07-25,Southern,Area 3,Monday,Morning,12,11759,404,393.4369560277328,0.10729764543580277,254,6,8.358663064723475
2022-07-26,Southern,Area 5,Tuesday,Afternoon,12,10629,388,381.68613324858813,0.10977157949677648,261,3,7.3417740656004105
2022-07-27,Western,Area 1,Wednesday,Afternoon,12,11094,449,466.9357050558327,0.10815964036547349,269,4,6.589584788296994
2022-07-28,Central,Area 1,Thursday,Morning,12,10789,525,529.0880617198524,0.11788162399837487,266,3,6.446075231599177
2022-07-29,Western,Area 6,Friday,Afternoon,12,10690,403,396.82183206065736,0.11176718595278592,256,3,9.250156879735169
2022-07-30,Central,Area 6,Saturday,Afternoon,12,11087,547,519.7228913632847,0.11343096425209548,259,3,12.811959519829557
2022-07-31,Southern,Area 4,Sunday,Afternoon,12,11564,687,713.6754188014833,0.11301570044950357,261,5,6.448680731743018
2022-08-01,Central,Area 4,Monday,Morning,12,10179,605,628.095433557436,0.11771601722295956,261,6,11.262221939040954
2022-08-02,Central,Area 2,Tuesday,Afternoon,12,11546,704,731.0551810694299,0.10559581096657988,260,4,6.7188585774028
2022-08-03,Western,Area 5,Wednesday,Afternoon,12,11461,696,700.2390976585352,0.10385592756875532,258,4,5.960074614536187
2022-08-04,Western,Area 1,Thursday,Afternoon,12,11054,779,783.4409827249723,0.10733762578137067,250,3,2.5097366007981403
2022-08-05,Western,Area 1,Friday,Afternoon,12,11286,695,673.305371406207,0.1069564845060496,256,5,5.047290704165129
2022-08-06,Central,Area 4,Saturday,Afternoon,12,10523,669,642.1564323577498,0.10942286008032676,257,7,0.0
2022-08-07,Western,Area 5,Sunday,Morning,12,11795,702,707.868440311958,0.10070779958621828,248,4,1.0342468601068404
2022-08-08,Western,Area 3,Monday,Morning,12,11574,796,756.8996196910904,0.10691856727626985,260,3,1.9685950238181655
2022-08-09,Western,Area 4,Tuesday,Morning,12,10628,770,743.110048411048,0.10902419837891694,260,6,0.0
2022-08-10,Central,Area 1,Wednesday,Morning,12,11952,735,764.6338504911448,0.1116169025715091,256,6,0.8185375777747688
2022-08-11,Western,Area 6,Thursday,Afternoon,12,11337,777,804.6071444754475,0.1111041609563732,255,6,1.8659320154035814
2022-08-12,Southern,Area 6,Friday,Morning,12,11816,638,652.156855310084,0.11868051285865092,248,5,4.068285922576658
2022-08-13,Central,Area 6,Saturday,Afternoon,12,10801,601,612.9923303046518,0.11362731123280936,255,4,6.00906942072353
2022-08-14,Southern,Area 2,Sunday,Morning,12,11569,605,605.5564028488903,0.10914574416519027,244,4,5.7951479899427305
2022-08-15,Central,Area 5,Monday,Afternoon,12,11746,437,417.39406918403586,0.108812945345178,249,5,8.871898038559694
2022-08-16,Southern,Area 1,Tuesday,Afternoon,12,12057,464,450.31147085678543,0.11315094356422993,257,4,11.204916813037444
